Sp_Class,u_mag,g_mag,r_mag,i_mag,z_mag,RA,Dec
DA,20.525,19.994,20.049,20.132,20.297,8.601.889,15.031.229
DA,20.525,19.994,20.049,20.132,20.297,8.601.889,15.031.229
DA_auto,19.934,19.665,19.938,20.195,20.479,8.604.677,1.066.625
DA,17.561,16.988,16.817,16.743,16.792,8.612.204,15.300.487
DA,17.561,16.988,16.817,16.743,16.792,8.612.204,15.300.487
DA,17.561,16.988,16.817,16.743,16.792,8.612.204,15.300.487
DB,18.47,18.581,18.834,19.109,19.381,865.275,528.171
DA,19.48,19.718,20.129,20.417,21.074,8.689.021,15.415.761
DA,19.48,19.718,20.129,20.417,21.074,8.689.021,15.415.761
DA,19.294,18.933,18.954,19.108,19.281,8.735.535,-1.048.763
DA,16.408,16.366,16.835,17.105,17.422,8.784.466,13.845.926
DA,16.408,16.366,16.835,17.105,17.422,8.784.466,13.845.926
DA,16.921,16.504,16.551,16.611,16.804,8.798.467,197.325
DA,16.921,16.504,16.551,16.611,16.804,8.798.467,197.325
DA,16.921,16.504,16.551,16.611,16.804,8.798.467,197.325
DA,16.921,16.504,16.551,16.611,16.804,8.798.467,197.325
DA,20.751,20.324,20.396,20.542,20.835,880.099,13.998.398
DA,20.751,20.324,20.396,20.542,20.835,880.099,13.998.398
DA_auto,19.561,19.954,20.366,20.659,20.916,8.803.149,627.259
DA_auto,19.831,19.375,19.43,19.584,19.779,8.996.063,116.154
DZ,17.559,17.056,17.05,17.081,17.238,900.573,-11.203.865
DA,19.56,19.427,19.681,19.946,20.283,9.007.585,14.809.693
DA,19.56,19.427,19.681,19.946,20.283,9.007.585,14.809.693
DA+M,19.337,19.338,19.287,18.635,17.953,9.116.917,-523.592
DA+M,19.337,19.338,19.287,18.635,17.953,9.116.917,-523.592
DA,19.643,19.466,19.738,19.981,20.408,9.243.192,15.064.402
DA,19.643,19.466,19.738,19.981,20.408,9.243.192,15.064.402
DA,17.85,17.493,17.55,17.65,17.861,9.329.691,527.501
DA,17.85,17.493,17.55,17.65,17.861,9.329.691,527.501
DA,19.396,18.987,18.968,18.989,19.164,9.355.585,1.545.902
DA,19.396,18.987,18.968,18.989,19.164,9.355.585,1.545.902
DA_auto,20.486,19.978,19.971,20.048,20.073,9.377.419,-282.742
DA+M,21.386,20.724,20.182,19.099,18.378,9.379.469,1.163.088
DA_auto,18.847,18.781,19.06,19.343,19.621,9.408.426,-877.662
DA_auto,20.006,19.55,19.416,19.405,19.45,9.497.381,-1.119.562
DA,17.519,17.537,17.9,18.185,18.557,9.504.962,15.477.161
DA,17.519,17.537,17.9,18.185,18.557,9.504.962,15.477.161
DA_auto,19.819,19.52,19.718,19.969,20.19,9.547.867,-775.008
DA_auto,19.305,18.918,19.023,19.319,19.613,9.556.415,-24.683
DB,19.408,19.534,19.794,20.078,20.044,9.568.023,873.902
DA_auto,19.014,18.614,18.555,18.63,18.588,9.721.519,-490.735
DA,19.37,19.343,19.683,19.915,20.028,9.725.965,15.938.313
DA,19.37,19.343,19.683,19.915,20.028,9.725.965,15.938.313
DB,19.889,19.818,20.039,20.153,20.4,9.732.022,14.070.045
DA,18.904,18.614,18.861,19.047,19.28,9.753.498,15.835.833
DA,18.904,18.614,18.861,19.047,19.28,9.753.498,15.835.833
DA_auto,19.246,18.776,18.942,19.125,19.098,9.760.315,-500.102
DA_auto,19.545,19.103,19.109,19.201,19.165,9.846.007,592.976
DA,19.327,18.812,18.801,18.843,19.012,995.116,-9.105.373
DA,19.642,19.323,19.378,19.448,19.776,9.954.032,14.706.803
DA,19.642,19.323,19.378,19.448,19.776,9.954.032,14.706.803
DA,19.642,19.323,19.378,19.448,19.776,9.954.032,14.706.803
DA_auto,19.96,19.428,19.21,19.167,19.159,10.005.942,985.795
DA,20.325,19.93,19.998,20.215,20.133,10.017.466,16.180.444
DA,20.325,19.93,19.998,20.215,20.133,10.017.466,16.180.444
DA_auto,19.077,18.857,19.071,19.371,19.475,10.092.577,-1.052.134
DA,15.217,14.769,14.954,15.124,15.291,10.095.354,-358.355
DA,20.271,19.87,20.054,20.242,20.272,10.214.064,14.726.412
DA,20.271,19.87,20.054,20.242,20.272,10.214.064,14.726.412
DA,20.271,19.87,20.054,20.242,20.272,10.214.064,14.726.412
DA,18.967,18.978,19.247,19.581,19.751,10.258.236,15.993.526
DA,18.967,18.978,19.247,19.581,19.751,10.258.236,15.993.526
DA,18.967,18.978,19.247,19.581,19.751,10.258.236,15.993.526
DA,17.494,17.423,17.833,18.133,18.459,1.026.298,14.380.169
DA,17.494,17.423,17.833,18.133,18.459,1.026.298,14.380.169
DC,19.203,19.153,19.263,19.374,19.496,10.269.539,15.673.795
DA_auto,20.426,19.928,19.886,19.983,20.041,10.281.459,64.615
DA,19.806,19.262,19.147,19.059,19.087,10.343.728,-11.075.707
DZ,19.805,19.443,19.445,19.425,19.569,10.348.269,15.185.827
DA+M:,19.675,19.79,19.654,19.344,19.053,10.4112,15.184.712
DA+M:,19.675,19.79,19.654,19.344,19.053,10.4112,15.184.712
DA+M:,19.675,19.79,19.654,19.344,19.053,10.4112,15.184.712
DA_auto,20.296,20.077,20.297,20.417,20.669,10.450.234,-85.763
DA,20.415,19.937,20.193,20.387,20.693,10.503.511,14.467.851
DA,20.415,19.937,20.193,20.387,20.693,10.503.511,14.467.851
DA,20.415,19.937,20.193,20.387,20.693,10.503.511,14.467.851
DA,19.259,18.745,18.969,19.213,19.306,10.626.042,-10.255.396
DA,18.181,18.35,18.746,19.053,19.369,10.661.107,-10.442.518
DA,19.971,19.511,19.779,20.108,19.895,10.700.797,332.043
DA,18.389,18.334,18.714,19.001,19.334,1.072.808,-9.185.647
DA_auto,18.473,18.529,18.888,19.178,19.398,10.808.504,-912.629
DA,19.225,18.742,18.852,19.048,19.287,10.940.785,930.553
DB,19.968,19.871,20.083,20.264,20.149,10.992.502,14.771.994
DB,19.968,19.871,20.083,20.264,20.149,10.992.502,14.771.994
DB,19.968,19.871,20.083,20.264,20.149,10.992.502,14.771.994
DC,20.335,20.204,20.193,20.25,20.396,1.099.554,14.551.571
DA,19.672,19.226,19.198,19.242,19.394,11.115.198,13.659.989
DA,19.672,19.226,19.198,19.242,19.394,11.115.198,13.659.989
DA,19.672,19.226,19.198,19.242,19.394,11.115.198,13.659.989
DA_auto,19.422,18.935,19.178,19.402,19.504,11.122.615,-864.747
DA,20.26,19.996,20.197,20.362,20.133,11.259.953,144.747
DA,20.26,19.996,20.197,20.362,20.133,11.259.953,144.747
DA,20.26,19.996,20.197,20.362,20.133,11.259.953,144.747
DA:,19.659,19.203,19.05,19.035,19.129,11.307.862,14.380.039
DA:,19.659,19.203,19.05,19.035,19.129,11.307.862,14.380.039
DA:,19.659,19.203,19.05,19.035,19.129,11.307.862,14.380.039
DA,19.345,19.265,19.583,19.839,20.196,11.370.303,771.234
DA,18.748,19.071,19.515,19.841,20.168,11.406.084,111.674
DA_B:,19.591,19.108,19.096,19.173,19.429,11.417.506,-40.467
DA_auto,19.752,19.271,19.339,19.432,19.605,11.451.013,8.553
DA,18.87,18.336,18.079,18.015,18.003,11.491.786,14.913.855
