,t,x,y,z,Sx,Sy,Sz
6562,2,2.394736842105263,3.421052631578947,-6.315789473684211,0.0016782431668136476,0.0023974902383052106,-0.004426135824563467
6563,2,2.394736842105263,3.421052631578947,-5.473684210526316,0.0026997729334356183,0.0038568184763365975,-0.006170909562138557
6564,2,2.394736842105263,3.421052631578947,-4.631578947368421,0.00442763499198063,0.006325192845686615,-0.008563338006468035
6565,2,2.394736842105263,3.421052631578947,-3.7894736842105265,0.007323990877128258,0.010462844110183226,-0.01158961193743373
6566,2,2.394736842105263,3.421052631578947,-2.947368421052632,0.01197039378548565,0.017100562550693785,-0.014732792351366958
6567,2,2.394736842105263,3.421052631578947,-2.105263157894737,0.01866881983132577,0.02666974261617967,-0.016412149302264416
6568,2,2.394736842105263,3.421052631578947,-1.2631578947368425,0.026420571364812854,0.03774367337830408,-0.013936125555066126
6569,2,2.394736842105263,3.421052631578947,-0.4210526315789478,0.03206393604609442,0.04580562292299203,-0.005637615128983641
6570,2,2.394736842105263,3.421052631578947,0.4210526315789469,0.03206393604609443,0.04580562292299204,0.0056376151289836305
6571,2,2.394736842105263,3.421052631578947,1.2631578947368425,0.026420571364812847,0.03774367337830407,0.013936125555066124
6572,2,2.394736842105263,3.421052631578947,2.1052631578947363,0.018668819831325772,0.026669742616179673,0.016412149302264412
6573,2,2.394736842105263,3.421052631578947,2.94736842105263,0.011970393785485665,0.017100562550693806,0.014732792351366967
6574,2,2.394736842105263,3.421052631578947,3.7894736842105257,0.007323990877128263,0.010462844110183233,0.011589611937433734
6575,2,2.394736842105263,3.421052631578947,4.631578947368421,0.0044276349919806285,0.006325192845686613,0.008563338006468031
6576,2,2.394736842105263,3.421052631578947,5.473684210526315,0.0026997729334356205,0.003856818476336601,0.006170909562138561
6577,2,2.394736842105263,3.421052631578947,6.315789473684209,0.0016782431668136485,0.002397490238305212,0.004426135824563467
6578,2,2.394736842105263,3.421052631578947,7.157894736842104,0.0010685270429592693,0.0015264672042275274,0.003193839073460673
6579,2,2.394736842105263,3.421052631578947,8.0,0.0006977357120355441,0.0009967653029079203,0.002330897323723137
6580,2,2.631578947368421,3.421052631578947,-8.0,0.0007899011745067159,0.0010268715268587306,-0.002401299570500417
6581,2,2.631578947368421,3.421052631578947,-7.157894736842105,0.0012016105689318705,0.0015620937396114316,-0.003268380747494688
6582,2,2.631578947368421,3.421052631578947,-6.315789473684211,0.0018714477265299068,0.0024328820444888787,-0.0044914745436717765
6583,2,2.631578947368421,3.421052631578947,-5.473684210526316,0.0029787470381496726,0.003872371149594574,-0.006195793839351319
6584,2,2.631578947368421,3.421052631578947,-4.631578947368421,0.004820290400772274,0.006266377521003955,-0.008483711105359204
6585,2,2.631578947368421,3.421052631578947,-3.7894736842105265,0.007842982694931114,0.010195877503410448,-0.011293895080700805
6586,2,2.631578947368421,3.421052631578947,-2.947368421052632,0.012570921022307955,0.016342197329000344,-0.014079431544984913
6587,2,2.631578947368421,3.421052631578947,-2.105263157894737,0.019195918150265313,0.024954693595344912,-0.015356734520212257
6588,2,2.631578947368421,3.421052631578947,-1.2631578947368425,0.026651007028214924,0.034646309136679404,-0.01279248337354317
6589,2,2.631578947368421,3.421052631578947,-0.4210526315789478,0.03196354745519307,0.041552611691750986,-0.005114167592830896
6590,2,2.631578947368421,3.421052631578947,0.4210526315789469,0.031963547455193086,0.041552611691751014,0.005114167592830888
6591,2,2.631578947368421,3.421052631578947,1.2631578947368425,0.026651007028214935,0.03464630913667941,0.012792483373543172
6592,2,2.631578947368421,3.421052631578947,2.1052631578947363,0.019195918150265313,0.024954693595344912,0.015356734520212249
6593,2,2.631578947368421,3.421052631578947,2.94736842105263,0.012570921022307965,0.016342197329000354,0.014079431544984916
6594,2,2.631578947368421,3.421052631578947,3.7894736842105257,0.007842982694931114,0.010195877503410448,0.011293895080700804
6595,2,2.631578947368421,3.421052631578947,4.631578947368421,0.004820290400772275,0.006266377521003958,0.008483711105359205
6596,2,2.631578947368421,3.421052631578947,5.473684210526315,0.0029787470381496756,0.003872371149594578,0.006195793839351325
6597,2,2.631578947368421,3.421052631578947,6.315789473684209,0.001871447726529907,0.002432882044488879,0.004491474543671776
6598,2,2.631578947368421,3.421052631578947,7.157894736842104,0.001201610568931872,0.0015620937396114334,0.0032683807474946916
6599,2,2.631578947368421,3.421052631578947,8.0,0.0007899011745067162,0.001026871526858731,0.0024012995705004173
6600,2,2.8684210526315788,3.421052631578947,-8.0,0.0008858697991456322,0.0010565419622837813,-0.0024706827425713044
6601,2,2.8684210526315788,3.421052631578947,-7.157894736842105,0.0013380936330166034,0.0015958914889188847,-0.0033390960383533593
6602,2,2.8684210526315788,3.421052631578947,-6.315789473684211,0.0020656369905573723,0.0024636037502060396,-0.00454819153884192
6603,2,2.8684210526315788,3.421052631578947,-5.473684210526316,0.003251546404466906,0.003877991124593557,-0.006204785799349692
6604,2,2.8684210526315788,3.421052631578947,-4.631578947368421,0.0051895249567376995,0.006189341691522026,-0.008379416443906745
6605,2,2.8684210526315788,3.421052631578947,-3.7894736842105265,0.008302593177274144,0.009902175349042556,-0.010968563463554834
6606,2,2.8684210526315788,3.421052631578947,-2.947368421052632,0.013048705065270833,0.01556267576591934,-0.013407843736792052
6607,2,2.8684210526315788,3.421052631578947,-2.105263157894737,0.019513228087182085,0.023272657351685055,-0.014321635293344655
6608,2,2.8684210526315788,3.421052631578947,-1.2631578947368425,0.02659024821455069,0.0317131400723999,-0.011709467103655353
6609,2,2.8684210526315788,3.421052631578947,-0.4210526315789478,0.03152972691207828,0.037604261454772255,-0.004628216794433514
6610,2,2.8684210526315788,3.421052631578947,0.4210526315789469,0.031529726912078296,0.037604261454772275,0.004628216794433506
6611,2,2.8684210526315788,3.421052631578947,1.2631578947368425,0.0265902482145507,0.03171314007239991,0.011709467103655358
6612,2,2.8684210526315788,3.421052631578947,2.1052631578947363,0.019513228087182095,0.023272657351685065,0.014321635293344653
6613,2,2.8684210526315788,3.421052631578947,2.94736842105263,0.013048705065270843,0.015562675765919354,0.013407843736792054
6614,2,2.8684210526315788,3.421052631578947,3.7894736842105257,0.008302593177274154,0.009902175349042567,0.010968563463554843
6615,2,2.8684210526315788,3.421052631578947,4.631578947368421,0.005189524956737698,0.006189341691522025,0.008379416443906742
6616,2,2.8684210526315788,3.421052631578947,5.473684210526315,0.0032515464044669063,0.003877991124593558,0.006204785799349693
6617,2,2.8684210526315788,3.421052631578947,6.315789473684209,0.0020656369905573753,0.002463603750206044,0.004548191538841926
6618,2,2.8684210526315788,3.421052631578947,7.157894736842104,0.0013380936330166047,0.0015958914889188864,0.0033390960383533623
6619,2,2.8684210526315788,3.421052631578947,8.0,0.0008858697991456322,0.0010565419622837813,0.0024706827425713044
6620,2,3.1052631578947367,3.421052631578947,-8.0,0.0009850515811119821,0.0010852263181742176,-0.002537760005576632
6621,2,3.1052631578947367,3.421052631578947,-7.157894736842105,0.0014769034754047636,0.0016270970491747392,-0.0034043876721194556
6622,2,3.1052631578947367,3.421052631578947,-6.315789473684211,0.0022589821748518354,0.002488709175684225,-0.004594540016647801
