u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
19.855.005,17.358.292,16.207.924,15.750.535,15.495.492,1.915.199.511,2.068.274.067
18.478.144,17.432.249,17.019.823,16.879.509,168.207,1.915.308.655,2.068.371.584
19.253.136,1.742.841,16.715.006,16.453.014,16.302.605,1.915.356.219,2.068.998.675
18.762.663,17.498.075,16.999.729,16.820.852,16.719.805,1.907.654.763,2.105.313.303
18.786.507,17.657.871,17.146.549,16.958.607,16.811.092,1.913.859.283,2.102.463.458
18.242.714,1.731.319,16.967.941,16.842.052,16.790.184,1.914.569.141,209.987.307
20.173.079,1.780.755,16.805.141,16.416.313,16.158.262,1.913.787.318,2.110.319.267
19.864.983,17.322.065,16.089.891,15.599.134,15.299.874,1.913.778.194,2.105.123.065
18.535.213,17.103.577,16.552.671,16.324.873,16.227.608,191.469.822,2.096.208.285
17.264.948,16.329.119,16.000.134,15.873.013,15.844.085,1.915.133.314,2.103.227.105
19.090.626,17.229.849,16.508.514,16.256.714,16.073.858,1.915.169.102,2.102.967.315
18.490.263,17.080.582,16.593.527,16.408.258,1.634.207,1.915.152.163,2.097.951.799
17.218.706,15.966.887,15.537.282,15.386.318,15.341.674,1.915.342.251,2.101.876.573
18.081.062,17.051.815,16.730.299,16.579.679,16.540.047,1.915.415.368,2.095.335.585
19.464.897,17.784.002,17.246.706,17.031.996,16.946.781,1.915.453.547,2.094.453.985
18.278.818,17.033.045,1.664.674,16.488.792,16.471.996,1.915.594.015,2.093.705.349
17.231.756,16.114.157,1.574.314,15.587.125,1.554.382,1.919.792.846,2.108.428.752
1.757.888,16.334.377,15.960.876,15.819.782,15.785.208,1.919.899.456,2.386.402.157
18.877.619,17.329.868,16.723.722,16.457.327,16.340.767,191.996.634,2.389.920.782
19.072.451,17.086.548,16.355.179,16.085.754,15.959.812,1.920.966.619,2.397.836.716
17.969.448,17.028.219,16.719.353,16.580.301,16.563.299,1.921.021.564,2.393.724.928
18.618.742,17.522.617,17.074.059,16.869.963,16.786.964,1.921.103.217,2.392.834.365
19.386.848,16.845.642,15.758.642,15.295.693,15.069.691,1.921.383.103,2.396.929.179
18.704.954,1.707.122,16.484.684,16.225.241,16.161.549,1.935.315.044,237.284.337
19.250.381,17.348.461,16.600.634,16.304.916,1.617.688,193.570.908,2.386.097.774
19.468.386,17.986.551,17.470.282,17.262.478,17.192.366,1.935.815.672,2.389.297.044
1.721.781,16.070.314,15.671.964,15.503.069,15.452.146,1.935.986.149,2.372.968.561
17.977.581,16.474.592,15.887.482,15.671.619,15.586.463,1.936.154.537,2.380.351.488
17.430.342,16.260.834,15.914.968,15.748.869,15.720.705,1.936.290.752,2.370.704.513
19.749.681,17.637.236,16.752.304,16.426.777,16.266.119,1.936.349.985,2.378.629.554
19.066.486,17.894.739,17.496.422,17.330.889,1.727.809,1.936.658.086,2.383.741.704
18.981.287,17.882.856,17.608.095,17.510.178,17.483.366,1.936.748.912,2.380.358.103
17.328.772,16.254.698,15.883.072,15.748.068,1.569.994,1.936.971.621,2.379.863.181
17.151.604,1.580.905,15.361.254,15.232.462,15.146.799,1.937.608.293,2.376.938.054
18.729.908,16.771.122,1.604.837,15.803.595,15.644.264,1.937.687.769,2.385.659.807
17.903.486,16.974.209,16.687.296,16.552.717,16.497.616,1.937.944.196,2.386.769.853
17.892.075,17.047.331,16.812.044,16.695.635,16.639.124,1.937.925.854,237.031.215
19.093.441,17.930.113,17.511.631,173.664,17.298.862,1.938.196.705,2.386.790.667
18.295.576,16.516.388,15.883.801,15.648.704,15.550.479,193.837.677,2.381.102.531
18.220.074,16.779.541,1.620.467,15.981.018,15.885.061,1.919.846.618,2.439.911.454
17.335.787,16.263.819,15.882.138,16.013.903,1.572.607,1.919.921.307,2.424.314.565
19.702.774,17.298.885,16.307.524,15.949.182,15.733.251,1.920.186.092,2.420.886.557
16.663.656,15.559.793,15.163.546,15.073.429,15.049.541,1.920.407.929,2.434.248.364
18.068.665,16.755.001,16.256.693,16.075.356,16.025.988,1.920.366.391,2.420.854.638
20.596.092,17.959.436,16.507.938,15.696.698,15.214.992,1.920.102.015,2.436.782.816
20.199.331,17.945.835,16.966.135,16.561.819,1.629.768,1.920.882.471,2.427.367.258
2.021.093,17.590.134,16.187.078,15.432.691,15.002.759,1.920.945.366,2.427.330.664
19.162.899,17.947.052,17.527.605,17.360.609,17.327.995,1.935.391.858,2.431.028.602
18.284.618,17.034.441,16.564.524,16.395.596,1.634.926,1.936.159.106,2.426.936.722
18.845.917,17.802.599,17.387.066,17.168.797,17.072.489,193.661.045,2.416.535.343
17.667.547,16.453.333,1.597.946,15.801.652,15.733.928,1.936.920.325,2.424.459.186
17.023.113,16.002.079,15.633.071,15.520.854,15.485.978,1.937.538.293,2.418.121.702
19.774.559,17.337.572,16.194.651,15.772.086,15.520.976,1.937.686.384,2.422.162.885
19.368.511,16.903.278,15.883.389,15.498.168,15.310.637,1.938.305.805,2.416.284.695
1.868.322,17.829.828,17.560.823,17.487.473,17.455.217,192.002.041,2.479.048.679
18.737.066,17.649.065,17.238.371,1.704.759,16.921.785,1.926.415.396,2.100.486.868
17.996.525,16.800.154,16.353.834,16.183.641,16.091.894,1.926.629.797,2.091.814.938
18.482.077,1.718.471,16.647.747,16.422.981,16.299.681,1.926.725.956,209.674.526
19.376.554,17.285.645,16.520.374,16.209.272,16.009.674,1.926.738.855,2.096.929.235
19.905.668,17.759.699,16.927.103,16.562.841,16.360.115,1.926.155.747,210.663.717
19.671.528,17.133.596,1.596.324,15.447.734,15.154.331,1.926.358.646,210.000.445
19.860.636,17.652.483,16.691.389,16.328.726,16.165.375,1.927.211.235,2.378.576.331
19.211.124,17.680.706,17.025.112,16.895.756,16.802.641,1.927.786.051,2.377.903.364
1.812.479,16.739.382,16.163.767,15.944.451,15.856.359,192.789.724,2.385.263.537
1.694.072,16.058.979,15.743.853,15.640.306,15.605.671,1.928.219.956,2.392.442.059
17.473.963,16.435.734,16.061.255,15.930.592,1.588.641,1.928.240.539,2.376.525.833
18.343.727,17.154.861,16.740.767,16.620.384,16.544.212,1.928.648.156,2.395.224.815
18.160.048,16.787.245,16.320.719,16.139.511,1.607.589,1.928.595.461,2.383.248.263
1.875.915,17.397.802,16.875.431,16.722.977,16.621.294,1.928.681.473,2.377.152.544
17.782.711,16.928.713,16.677.711,16.613.781,1.659.408,1.928.903.994,2.378.996.923
17.921.968,16.696.846,16.211.716,16.049.875,15.981.067,1.929.167.982,2.394.013.348
18.508.299,16.934.484,16.312.698,16.098.606,15.989.424,1.929.109.398,2.383.738.368
16.942.005,15.696.176,15.271.089,15.145.236,15.122.333,1.929.178.802,2.382.196.492
17.980.495,16.677.616,16.185.778,1.600.515,15.963.001,192.927.918,2.385.684.794
18.537.838,17.657.043,17.410.666,17.269.966,17.273.567,1.929.558.039,2.390.855.749
18.510.237,17.125.708,16.637.333,16.382.656,16.299.925,1.930.089.273,2.387.133.414
197.808,17.988.308,17.315.535,16.996.101,16.833.139,1.930.103.274,2.387.304.068
18.885.199,16.896.467,16.201.674,15.949.977,15.835.984,1.930.131.508,2.375.340.704
18.898.476,17.984.182,17.664.091,17.516.254,17.444.565,1.943.847.988,2.369.311.542
19.473.816,16.983.738,15.911.421,15.542.175,15.325.472,1.944.232.948,2.367.353.835
189.429,17.085.968,1.633.165,16.049.988,15.867.419,1.944.328.893,2.371.156.196
19.984.669,17.905.216,16.992.643,16.628.866,16.450.586,1.944.651.079,2.384.644.865
18.620.892,1.775.836,17.453.583,17.319.107,17.288.944,1.944.956.648,2.364.776.229
18.447.634,16.457.932,15.695.761,15.374.343,15.229.182,194.513.589,237.597.742
18.371.029,16.795.105,16.147.324,1.588.488,15.767.786,1.945.130.044,2.368.424.968
18.886.564,17.265.123,16.636.454,1.639.777,1.631.303,194.514.294,2.367.853.438
19.164.783,17.872.585,17.353.088,17.157.532,17.019.632,1.945.866.123,238.255.305
19.558.567,17.724.548,17.075.792,16.833.748,1.668.293,1.945.961.946,237.333.089
18.478.905,17.056.128,16.475.718,1.627.807,16.175.243,1.946.017.358,2.366.221.906
19.290.606,17.800.016,17.227.449,17.010.527,16.886.269,1.946.073.888,2.366.562.536
17.151.218,16.038.141,1.563.028,15.437.652,15.358.372,1.946.203.335,2.368.499.741
18.821.661,17.787.962,17.487.133,17.352.934,17.314.312,1.946.669.356,2.380.188.347
18.941.233,17.943.329,1.760.383,17.477.432,17.456.018,192.704.179,2.421.597.208
1.901.263,17.877.794,17.546.095,17.441.444,17.398.584,1.927.169.935,2.436.992.244
19.217.836,17.985.294,17.526.667,17.366.531,17.309.788,1.927.144.904,2.428.739.298
18.596.783,17.264.397,16.726.515,16.544.767,16.472.893,1.927.120.409,2.418.238.508
18.089.855,16.499.243,15.805.375,15.536.582,154.098,1.927.246.611,2.420.901.345
18.940.022,16.750.542,15.858.013,15.552.279,15.423.493,1.927.271.375,2.422.709.073
18.649.448,17.039.492,16.417,16.171.997,16.065.557,1.927.490.216,2.418.644.325
1.665.167,15.664.572,15.267.486,15.138.747,15.084.526,1.927.629.559,2.425.317.938
18.866.213,17.943.872,17.642.591,1.754.372,17.509.651,1.927.666.294,242.185.895
18.461.794,16.482.281,15.692.879,15.440.768,15.295.403,1.927.931.727,2.435.123.405
17.254.599,16.344.067,15.985.559,15.868.961,15.819.272,1.928.008.894,2.425.126.482
17.707.582,16.526.743,16.064.163,15.862.854,15.779.082,1.928.799.305,2.434.032.155
18.918.793,17.784.903,17.398.216,17.237.074,17.209.652,1.928.906.888,2.432.372.096
18.703.375,16.808.254,16.053.585,15.785.867,15.646.012,1.928.911.389,2.429.693.578
19.399.837,17.929.222,17.406.399,17.188.013,17.092.756,1.929.077.085,2.435.478.088
17.849.831,16.423.119,15.867.888,15.653.009,1.553.623,1.929.782.702,2.429.587.005
17.582.014,16.522.926,1.617.193,16.071.705,16.021.097,1.943.451.613,2.425.272.087
19.272.394,17.618.216,16.996.521,16.787.813,16.675.989,1.943.493.799,2.424.077.325
19.490.484,17.804.592,17.202.566,16.843.664,16.689.905,1.943.513.691,2.427.403.756
18.387.697,17.365.812,17.040.998,16.948.912,16.908.155,1.943.713.202,2.426.360.619
18.499.054,17.356.705,16.895.943,16.739.204,16.619.926,1.943.820.697,2.416.257.066
1.886.001,17.809.595,17.728.403,17.736.261,17.717.497,1.943.941.541,2.426.747.541
16.742.062,15.729.159,1.541.698,15.335.951,15.304.577,1.943.863.965,2.413.930.398
19.237.507,17.999.233,17.498.735,17.326.506,17.242.884,1.944.212.394,241.654.436
17.225.252,16.118.231,15.660.612,15.511.244,15.414.113,1.944.280.655,2.419.903.085
18.958.643,17.705.164,17.198.219,17.015.039,16.956.379,1.944.484.797,2.414.645.152
20.042.383,1.777.157,16.806.816,16.459.223,16.237.267,1.943.467.749,2.425.861.874
16.864.613,15.702.147,15.309.795,15.157.742,15.152.892,1.944.698.672,2.413.150.965
18.387.241,17.362.411,17.027.994,168.759,16.860.325,1.945.163.345,2.413.874.257
19.481.924,17.795.055,1.715.852,16.985.559,16.846.226,194.615.836,2.409.976.177
1.767.725,16.591.816,1.627.202,16.131.498,16.046.148,1.946.642.162,2.416.280.947
19.680.208,17.834.064,17.055.904,16.772.852,16.647.049,192.704.835,2.469.271.082
19.522.549,17.649.944,16.874.083,16.565.334,16.385.389,1.927.199.509,2.474.642.043
19.088.587,17.705.973,17.119.795,16.878.183,1.679.105,1.927.364.029,2.478.792.797
16.768.488,15.740.873,15.412.313,15.290.686,15.288.807,1.927.362.528,2.469.416.503
17.753.508,16.641.445,16.224.272,16.037.107,15.992.531,1.928.154.961,2.478.452.948
19.417.454,17.813.255,17.177.427,16.955.908,16.823.997,1.928.408.272,2.471.934.073
20.323.494,17.783.787,16.595.148,16.099.655,15.782.931,1.928.013.251,247.580.838
20.424.414,17.988.466,16.720.581,16.066.198,15.700.538,1.928.168.228,247.497.281
1.872.333,17.316.151,166.723,16.402.559,16.276.743,1.928.616.783,2.473.432.856
18.794.788,1.733.301,16.782.541,16.625.141,16.509.842,1.929.009.948,2.463.290.584
1.796.409,16.606.976,16.108.427,15.926.798,15.861.759,1.934.009.948,2.098.203.785
17.821.484,16.715.395,16.216.911,1.602.002,15.883.111,1.934.270.261,2.091.741.568
19.577.702,17.850.643,17.187.874,16.960.585,16.835.415,1.934.392.262,2.096.603.745
20.324.251,17.747.625,16.538.425,16.112.991,15.811.233,1.934.249.292,2.086.250.095
20.229.364,17.701.639,16.360.811,15.818.293,15.464.567,1.934.381.931,2.087.677.037
20.205.713,17.800.232,16.481.981,15.824.121,15.441.694,1.934.447.763,2.099.003.742
18.935.307,17.311.127,1.671.105,16.491.074,16.394.083,1.934.618.186,2.389.221.979
17.106.474,15.813.518,15.360.134,15.075.477,15.128.901,1.934.776.747,2.374.529.966
18.818.663,1.781.542,17.402.418,17.210.918,17.112.291,1.934.959.909,2.384.985.728
19.528.267,17.195.654,16.231.577,15.854.087,15.674.724,1.934.956.486,2.375.224.731
17.749.464,16.346.243,15.890.539,15.694.228,15.636.328,1.946.790.298,2.376.035.153
17.195.557,16.032.164,15.626.536,15.341.845,15.320.621,1.946.834.514,2.363.796.352
19.667.162,17.227.232,16.110.527,15.697.543,15.490.396,1.947.168.015,2.368.300.444
20.035.978,17.562.283,16.311.598,15.727.808,15.404.368,1.947.132.829,2.369.677.002
17.290.138,16.075.689,15.608.606,15.491.604,15.412.349,1.947.530.331,2.368.383.884
16.966.421,15.860.518,15.454.908,15.340.871,15.282.248,1.948.131.129,2.366.775.604
19.529.118,17.634.247,16.890.293,16.671.659,16.529.217,1.948.332.683,2.378.459.195
18.853.752,17.970.201,17.757.963,17.656.178,17.642.101,1.948.867.581,237.278.858
19.705.061,17.171.938,15.982.456,15.478.418,15.188.807,1.949.116.038,2.363.591.828
18.667.238,17.528.204,17.035.982,16.823.423,16.700.178,1.949.661.504,2.363.352.587
19.204.622,17.542.604,16.918.583,16.704.222,16.597.002,1.949.767.169,2.365.541.883
19.518.049,17.676.098,16.953.938,16.698.669,16.561.018,1.949.818.193,2.363.230.278
19.113.871,17.631.332,17.067.238,16.838.404,16.658.133,1.934.711.267,2.432.078.159
19.106.588,17.611.698,17.021.931,16.787.651,1.666.643,1.934.776.256,2.426.167.536
18.176.769,17.004.898,16.623.987,16.475.445,16.414.343,1.934.859.636,2.417.582.335
18.245.832,17.188.004,16.866.894,16.770.786,16.717.594,193.497.894,2.426.593.894
18.117.922,17.066.702,16.752.506,16.637.268,1.659.473,1.935.031.504,2.431.348.082
18.471.804,16.570.934,15.867.209,15.590.048,15.429.891,1.934.952.137,2.416.251.638
17.060.825,15.942.815,15.562.153,15.426.785,1.537.003,193.503.194,2.421.562.116
1.898.082,17.394.516,16.814.978,16.581.488,16.478.415,1.946.893.156,2.426.001.234
19.554.499,17.759.233,17.066.114,16.846.716,16.683.136,1.947.297.992,2.405.781.612
19.531.046,17.034.872,15.918.539,15.500.695,15.305.346,1.947.521.409,241.928.598
18.941.128,171.584,16.459.526,16.206.455,16.079.067,1.947.514.285,2.417.808.214
17.486.397,16.604.607,16.308.676,16.217.638,16.194.294,1.947.772.347,2.416.294.391
1.895.116,17.474.625,16.892.805,16.694.447,16.567.461,1.947.857.624,2.411.121.521
19.775.436,17.332.449,16.326.447,15.973.259,15.801.551,1.948.495.585,2.409.695.459
1.939.851,17.632.751,16.973.118,16.723.862,16.565.763,1.949.260.948,2.414.443.322
18.441.483,17.391.504,17.045.755,1.694.467,16.877.272,1.949.213.301,2.405.648.238
18.684.912,17.350.163,16.823.126,17.334.398,16.510.477,1.949.955.437,2.418.743.741
18.585.775,17.551.088,17.157.085,17.059.116,16.972.788,1.949.928.633,2.403.829.361
1.885.759,17.835.951,17.533.318,17.428.354,17.360.004,1.949.967.585,2.404.506.424
18.765.228,17.736.637,17.366.638,17.201.618,17.179.529,1.934.736.214,2.455.678.732
17.722.965,16.717.251,1.635.285,1.621.089,16.173.933,1.934.876.698,245.786.209
16.758.444,1.562.137,15.216.055,15.082.362,15.040.116,19.351.267,2.467.352.597
19.093.878,17.387.957,16.653.273,16.396.475,16.268.551,1.946.849.782,2.458.858.051
18.337.851,17.405.876,17.125.723,17.023.304,17.006.456,1.946.987.298,2.448.827.004
1.729.567,16.210.526,15.799.351,1.566.699,15.642.069,1.947.296.842,2.467.382.072
16.476.332,15.660.358,15.388.892,15.308.327,15.306.644,1.947.268.852,245.458.619
19.158.144,17.927.544,1.737.009,17.134.388,17.044.706,1.947.437.248,246.412.739
18.004.763,16.604.258,16.062.752,15.853.312,15.791.268,1.947.649.333,2.463.148.327
18.285.662,16.717.827,16.117.147,15.918.627,15.856.961,1.948.348.742,2.454.011.393
1.976.375,1.771.331,16.848.036,16.560.036,16.403.475,1.948.510.704,245.764.895
17.177.872,16.146.233,15.746.985,15.639.766,15.599.004,1.948.935.067,2.465.443.596
18.150.095,17.160.509,1.672.208,16.574.446,16.496.273,1.948.970.195,2.465.532.098
20.396.387,17.942.797,16.631.844,1.602.112,15.721.844,1.949.649.418,2.457.676.355
20.186.363,17.786.488,16.451.237,15.801.276,15.410.053,1.949.898.794,2.445.946.182
17.914.694,16.643.747,16.109.863,15.908.914,15.767.612,1.947.000.398,2.497.384.365
17.968.987,16.276.043,15.611.146,1.533.366,15.176.267,1.947.304.488,2.496.902.284
17.841.873,16.417.816,15.888.346,1.562.786,15.537.537,1.947.779.277,249.415.309
18.706.535,17.889.645,17.623.919,17.502.871,17.524.536,1.948.033.319,2.493.031.868
20.210.428,17.781.404,16.502.619,15.963.759,15.651.156,1.947.620.164,2.497.103.448
17.940.584,16.555.632,15.968.666,15.771.539,1.564.416,1.949.689.882,249.982.179
20.405.994,1.791.666,16.580.004,15.795.659,15.361.101,1.948.589.104,2.490.005.919
18.936.655,1.775.486,17.264.441,17.066.401,16.970.951,1.935.047.357,2.136.658.132
18.804.392,17.821.249,17.505.362,17.330.273,1.728.009,1.946.879.175,2.125.647.296
18.375.328,17.024.036,16.425.203,16.108.265,1.602.696,1.947.042.695,2.117.174.543
19.016.277,16.850.042,16.087.502,15.775.284,15.636.146,19.474.762,2.135.819.907
17.444.996,16.056.036,15.573.919,15.373.831,15.332.875,1.947.475.443,2.118.201.425
18.662.975,17.349.766,16.824.598,16.601.433,16.501.993,1.947.699.441,2.119.652.193
19.026.705,17.684.044,17.197.651,17.008.108,16.935.884,1.947.971.589,2.132.167.929
17.903.793,1.639.115,15.843.782,15.640.882,15.579.264,1.948.258.068,2.130.251.175
18.838.003,17.499.947,1.689.257,16.635.429,16.501.146,1.948.836.132,2.115.373.012
19.114.994,17.037.724,16.254.766,15.930.751,15.781.654,1.949.037.971,2.133.335.473
17.088.539,16.038.273,15.643.178,15.479.278,15.446.993,1.949.177.413,2.127.125.812
1.873.638,17.416.578,16.868.258,16.636.902,16.544.785,1.949.377.288,2.128.497.131
18.783.026,17.646.458,17.147.959,16.945.816,16.854.765,194.947.722,2.123.761.461
1.878.089,16.992.279,16.301.573,16.061.256,15.905.043,1.949.928.292,2.120.488.517
18.124.102,1.720.829,16.913.311,16.811.279,16.771.236,1.934.737.395,2.172.228.622
19.477.798,17.731.495,16.984.625,16.733.456,16.629.084,1.919.174.094,2.091.016.861
17.868.523,16.624.453,16.202.721,16.066.444,15.988.374,1.923.674.865,2.068.968.189
18.728.039,17.822.361,17.517.658,1.740.037,17.350.546,1.909.547.201,2.029.732.219
18.220.142,16.334.078,15.608.591,15.332.496,15.174.289,1.909.741.638,201.700.327
18.918.545,17.719.687,17.222.689,17.044.422,16.957.499,1.917.688.335,2.023.577.112
17.102.793,15.894.951,1.544.932,15.268.121,15.207.766,1.918.283.211,2.018.864.181
18.748.352,17.499.531,17.088.081,16.917.982,16.877.485,1.918.570.555,2.010.500.269
18.929.918,16.776.222,15.891.013,15.563.412,15.350.355,1.918.612.409,2.020.798.728
18.093.321,16.623.055,16.052.227,15.842.142,15.734.851,1.918.765.898,2.021.365.289
17.586.935,16.623.184,16.348.253,16.244.379,16.225.185,191.879.476,2.012.723.542
19.662.945,17.193.378,16.201.809,1.584.169,1.564.175,1.918.964.699,2.008.990.921
18.536.274,16.371.986,15.532.508,1.526.442,15.127.727,1.918.957.201,2.021.658.046
17.163.538,16.020.462,15.552.565,15.396.043,15.343.734,1.919.205.507,2.024.543.265
18.216.209,17.198.576,16.665.239,16.454.966,16.344.477,1.919.303.343,2.017.588.977
19.331.814,1.681.708,15.711.375,15.372.234,1.513.568,1.909.588.612,2.070.167.497
18.205.301,17.135.681,16.703.224,16.545.288,16.469.084,1.917.622.362,2.054.370.371
17.995.462,16.614.941,16.084.534,15.869.282,15.790.734,1.917.811.785,207.002.986
17.947.279,16.871.336,16.553.247,16.470.285,16.441.792,1.917.893.487,2.051.705.918
19.359.867,17.233.831,16.335.833,16.009.277,15.799.493,1.917.977.411,2.065.571.169
18.434.744,17.211.933,16.790.695,16.679.928,16.597.866,1.917.987.967,206.454.778
1.810.083,17.187.815,16.914.907,16.841.928,16.802.708,1.918.014.493,2.052.164.862
18.649.174,17.411.552,16.974.804,16.849.825,16.756.321,1.918.174.068,206.195.403
19.260.311,17.378.672,16.686.562,16.447.887,16.220.989,191.852.688,2.067.710.454
1.844.157,17.275.841,16.805.243,16.603.125,16.480.469,1.918.790.285,2.050.520.185
1.817.325,16.925.032,16.532.927,16.393.358,16.340.643,1.918.912.398,2.066.185.537
1.832.769,16.991.941,16.554.033,16.416.025,16.344.294,1.918.953.683,2.053.480.847
1.683.765,1.574.167,1.539.753,15.274.011,15.197.076,1.919.212.065,205.061.279
17.228.001,15.940.653,15.536.601,15.351.655,15.268.494,1.919.266.488,2.051.120.261
17.606.077,16.149.801,15.543.699,15.308.227,15.132.963,1.923.634.389,2.059.738.834
17.572.607,1.618.597,15.666.043,15.465.038,15.407.065,1.917.534.818,2.092.753.137
18.312.986,17.391.764,17.057.327,16.932.135,16.889.162,1.917.739.064,2.104.307.278
18.948.542,17.591.534,17.070.612,16.849.115,16.738.995,1.917.885.116,2.106.262.331
19.526.047,17.617.798,16.900.272,16.617.607,16.461.691,191.814.662,2.104.414.657
17.573.215,16.260.574,15.802.917,15.654.905,15.624.532,1.918.181.837,2.107.144.638
18.116.268,16.827.553,16.380.177,16.235.352,16.119.919,1.918.263.621,2.105.574.935
16.536.198,15.402.153,1.521.344,15.166.634,15.157.536,1.918.372.908,2.092.640.815
18.738.224,17.221.153,16.679.848,16.496.412,16.351.856,191.854.516,2.100.665.145
17.767.311,16.598.116,16.194.853,16.063.812,16.007.132,1.918.743.224,2.100.534.873
16.861.004,15.706.799,15.284.657,15.128.916,15.024.104,1.918.761.272,210.318.562
18.551.895,17.605.698,17.280.228,17.160.538,17.091.671,1.919.144.694,2.103.803.991
19.282.408,17.724.524,17.077.547,16.861.794,16.748.674,1.923.921.724,2.381.239.654
17.454.649,16.078.114,15.549.992,15.353.796,15.273.069,1.923.981.557,2.382.807.593
19.496.639,17.303.457,16.387.804,16.034.252,15.845.684,1.924.210.935,2.385.365.349
17.486.095,16.143.433,1.559.318,15.344.252,1.525.737,1.924.377.154,2.390.351.351
20.321.346,17.728.584,16.466.587,15.878.983,15.623.961,1.924.129.373,23.887.796
17.952.396,16.937.086,17.050.125,17.150.614,17.259.661,192.472.912,2.388.238.992
1.885.854,17.675.909,17.244.707,1.708.499,17.026.505,1.925.161.555,238.863.667
18.861.828,17.570.805,17.066.008,16.884.003,16.837.601,1.925.153.603,2.383.929.314
19.235.016,17.655.073,17.030.008,16.783.648,16.680.561,1.925.250.115,2.395.143.638
17.980.343,16.686.651,16.207.617,16.013.769,15.957.233,1.925.272.032,2.390.851.848
19.793.167,17.601.883,16.713.299,16.315.489,16.115.124,1.925.607.426,2.396.281.763
18.951.593,17.888.426,17.468.952,17.289.371,17.243.567,1.925.702.809,237.667.727
1.881.846,17.211.306,16.547.298,16.277.437,16.206.253,1.925.895.076,2.386.388.401
20.474.325,17.970.337,16.655.308,16.121.754,15.843.334,1.925.188.739,2.381.463.037
17.716.616,16.511.721,16.075.697,15.905.547,15.834.579,1.940.075.247,2.383.304.447
1.651.815,15.590.956,15.349.391,1.524.257,15.213.702,1.940.572.164,2.381.276.252
18.836.481,16.543.934,15.654.766,15.260.586,15.100.945,1.940.816.655,2.376.635.737
20.173.523,17.851.219,16.971.592,16.657.522,16.476.564,1.940.331.811,2.382.059.803
17.170.557,15.917.801,15.431.653,15.226.605,15.174.366,1.941.570.866,2.382.802.632
18.590.986,17.076.057,16.462.507,16.238.989,16.121.929,1.941.552.873,2.368.941.347
18.690.073,17.202.631,16.586.596,1.638.485,16.271.402,1.941.539.997,2.368.733.357
17.809.355,16.028.496,15.389.586,15.195.662,15.150.026,194.173.182,2.386.642.244
17.910.353,16.270.105,15.584.006,15.332.093,15.214.799,1.941.756.464,2.383.356.055
17.236.309,15.995.526,15.527.893,15.383.655,15.334.111,19.420.457,2.386.522.163
18.155.977,17.129.087,168.043,16.674.438,1.664.753,1.942.388.412,2.381.412.113
17.539.793,16.407.398,16.042.889,15.921.104,15.868.663,1.923.971.332,2.434.887.554
18.537.823,17.732.662,17.458.336,1.738.028,17.344.505,1.924.603.124,2.436.247.929
19.017.796,17.828.693,17.856.314,17.877.949,17.872.581,1.924.524.798,2.424.862.877
18.121.553,16.833.578,1.628.771,16.108.582,16.025.087,19.248.568,2.419.521.113
18.362.343,17.424.679,17.162.394,17.067.081,17.030.256,1.925.316.994,2.425.342.359
18.502.661,16.576.578,1.587.708,15.628.801,15.516.477,1.925.446.916,2.418.568.228
18.945.518,17.354.048,16.729.736,16.469.322,1.632.876,1.925.619.875,2.433.841.343
18.813.097,17.241.663,16.640.795,1.640.321,16.277.666,1.925.721.228,2.429.150.768
20.228.704,17.924.202,16.964.033,16.616.467,16.411.064,1.925.355.983,2.424.188.414
18.583.302,176.735,17.369.394,17.240.242,17.223.925,194.016.698,2.419.991.587
1.867.795,17.458.595,17.058.186,1.689.959,16.837.717,1.940.806.845,241.471.856
17.536.848,16.320.818,15.914.918,15.752.828,15.653.959,1.941.099.867,2.422.990.899
1.744.566,16.199.003,1.575.714,15.600.667,15.547.392,1.941.266.599,2.418.519.209
18.222.448,16.876.606,16.421.234,16.289.692,16.234.467,1.929.025.136,2.462.081.413
18.005.285,16.469.374,15.838.946,15.615.655,15.494.383,1.929.063.202,2.459.451.313
17.430.599,16.023.577,15.489.254,15.297.264,15.220.238,192.941.004,2.478.732.349
17.908.249,16.397.964,15.776.761,1.554.928,15.424.507,1.929.359.752,2.458.599.536
18.715.467,16.739.872,1.590.676,15.632.919,15.489.326,1.929.743.221,2.472.638.145
18.208.059,17.155.878,16.764.225,16.664.391,16.625.076,192.986.736,2.476.309.829
20.369.228,17.899.666,16.555.721,15.968.974,1.567.021,1.929.806.507,2.475.164.517
19.571.775,17.937.765,17.288.488,1.706.999,16.937.189,1.930.123.892,247.751.475
19.074.697,17.748.711,17.189.226,17.022.245,16.938.318,1.930.122.871,246.420.194
19.584.169,17.957.842,17.367.146,17.176.662,1.705.743,1.943.431.557,2.461.015.044
18.337.549,17.034.037,16.542.913,16.380.114,16.294.436,1.943.533.113,2.460.162.938
20.212.381,17.753.977,16.368.423,15.755.342,1.539.486,1.944.150.942,2.457.358.663
18.876.112,17.487.085,16.867.207,16.711.121,16.568.743,1.944.386.322,2.465.320.895
18.250.324,17.132.189,16.736.603,16.617.542,16.556.715,1.944.793.131,2.469.188.471
17.695.959,16.703.905,16.324.808,16.204.031,16.178.221,1.945.314.774,2.467.693.224
17.581.232,16.446.766,15.964.699,15.767.928,15.693.036,1.945.325.765,246.672.318
18.874.941,17.140.795,16.453.445,16.202.557,16.079.973,1.945.554.816,2.457.420.631
