u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
20.045.881,17.776.724,16.817.652,16.510.719,16.333.801,1.903.167.446,2.151.942.173
18.632.669,16.486.675,1.555.827,15.216.899,15.025.755,1.904.288.347,214.082.627
20.085.493,17.741.201,16.736.818,16.363.897,16.070.456,1.902.033.327,2.188.174.509
18.182.661,1.694.478,16.488.787,16.326.756,16.282.894,1.903.065.046,2.193.809.038
18.703.098,17.252.745,1.670.344,16.501.076,16.421.972,1.903.476.737,2.182.143.674
18.354.885,17.151.758,1.663.982,16.466.656,16.381.189,1.904.333.214,218.224.782
19.182.432,17.445.623,16.775.656,166.101,16.465.021,1.902.969.374,2.226.675.546
1.917.387,17.838.564,17.323.093,17.173.243,17.050.777,1.903.110.168,2.223.678.437
18.223.379,17.105.238,16.736.319,16.546.114,16.621.248,1.900.003.134,2.285.274.031
18.803.114,17.948.099,17.632.486,17.525.045,1.748.078,1.900.003.232,2.003.187.767
19.957.733,17.309.298,16.152.351,1.566.451,15.358.212,1.900.315.617,2.046.905.657
1.827.286,17.379.383,17.178.343,17.113.295,17.079.765,1.900.503.992,243.777.523
18.528.194,16.697.409,1.598.352,15.748.357,15.663.429,1.900.526.079,235.478.505
18.189.951,16.420.019,15.820.323,15.545.712,15.419.997,1.900.536.134,2.162.264.851
1.719.453,1.603.875,15.609.221,15.425.111,15.339.667,1.900.582.945,2.248.378.156
17.103.323,16.162.455,15.793.494,15.687.959,15.656.246,1.900.506.141,2.366.845.457
20.133.139,17.984.276,17.196.035,16.932.301,16.754.473,1.900.519.554,2.002.442.789
20.117.018,17.576.178,16.362.057,15.915.828,1.566.322,1.900.585.702,206.427.936
20.306.168,17.872.198,16.745.062,16.295.576,1.610.247,1.900.875.653,2.397.319.444
18.665.688,17.286.102,16.737.616,16.529.915,16.427.431,1.900.801.354,244.867.466
18.587.019,17.412.642,16.977.331,16.803.068,16.708.525,1.900.811.084,2.144.494.017
19.070.948,17.870.859,17.437.109,17.266.335,17.180.649,190.096.752,219.453.677
18.552.139,17.424.313,17.096.704,16.959.898,16.943.031,1.900.800.597,2.318.979.767
20.445.808,17.976.049,16.959.364,16.568.428,16.381.445,1.900.807.868,2.243.385.796
1.785.009,16.714.724,16.405.863,16.308.727,16.200.249,1.901.122.754,2.345.850.655
18.337.051,17.110.144,16.664.885,16.501.646,16.442.532,190.098.287,2.375.944.083
19.586.634,16.984.678,15.858.336,15.423.106,15.203.546,1.900.879.549,2.412.279.736
18.762.041,17.791.168,17.522.551,17.434.858,17.409.597,190.113.248,2.461.758.744
1.855.274,17.496.679,17.157.425,17.030.163,16.969.599,1.901.208.481,2.462.438.522
19.763.098,17.881.462,17.154.879,16.879.076,16.748.739,1.900.605.345,201.814.914
16.957.458,15.747.527,1.526.073,16.333.279,15.015.157,190.098.889,2.020.580.332
18.747.919,17.402.069,16.882.946,16.644.461,16.532.536,1.901.222.768,2.073.706.307
17.025.557,15.768.666,15.324.935,15.155.535,15.131.536,190.183.054,2.390.406.238
